# overall AIC: 63.341904051264 
#  population,partChain,AIC
0,0,79.122929415738
0,1,76.271179877536
0,2,76.271179877536
0,3,78.867650526062
0,4,78.647499954526
0,5,78.940559310532
0,6,79.391873850362
0,7,79.330106511268
0,8,76.271179877536
0,9,78.647499954526
1,0,72.277572580606
1,1,72.334481793370
1,2,71.873833761916
1,3,71.060845456632
1,4,72.982227593026
1,5,71.978960314684
1,6,71.741162813998
1,7,71.873833761916
1,8,73.886785987356
1,9,73.940777831420
2,0,67.270612466736
2,1,65.676121943382
2,2,65.761587467276
2,3,64.538608795814
2,4,67.935426488570
2,5,64.299346578414
2,6,64.299346578414
2,7,64.348580638184
2,8,64.299346578414
2,9,64.348580638184
3,0,65.850174046324
3,1,66.034421521996
3,2,66.598439331978
3,3,65.241625936610
3,4,67.450575540782
3,5,64.840908034526
3,6,66.553161103230
3,7,66.265123696294
3,8,67.197939933274
3,9,65.241625936610
4,0,54.054603729612
4,1,54.768954695718
4,2,54.276854694516
4,3,55.784652782452
4,4,56.130234764934
4,5,53.591446224496
4,6,55.445245894014
4,7,54.714944519858
4,8,54.762419677402
4,9,55.398939036584
5,0,67.117272534742
5,1,68.076923085408
5,2,64.142523000178
5,3,62.838437591564
5,4,65.925146772560
5,5,67.906227752440
5,6,68.076923085408
5,7,62.838437591564
5,8,66.261462267090
5,9,67.515837761306
6,0,77.328099996448
6,1,76.328090396048
6,2,77.601656702146
6,3,77.989156006792
6,4,74.263301536972
6,5,76.512772154072
6,6,76.778246422348
6,7,75.541110462592
6,8,76.328090396048
6,9,77.989156006792
7,0,79.210778574436
7,1,76.203038972542
7,2,75.543628383294
7,3,80.513647671334
7,4,77.562631053612
7,5,78.330645648960
7,6,78.330645648960
7,7,75.543628383294
7,8,76.828764527110
7,9,75.543628383294
8,0,61.864040528120
8,1,61.404279849848
8,2,61.617678445374
8,3,61.450768141458
8,4,59.531620118548
8,5,58.268442611878
8,6,61.796427931254
8,7,59.524936365042
8,8,61.808903013144
8,9,60.437278000146
9,0,66.132187275804
9,1,63.341904051264
9,2,66.991275906546
9,3,65.204591666052
9,4,66.488881677516
9,5,64.147975382658
9,6,64.704356398420
9,7,64.482667132754
9,8,64.023735169426
9,9,64.704356398420
